id,en,fr,de
fallbacks_use_2,I can't use or move that there.,Je ne peux pas faire ça.,Ich kann das nicht benutzen oder dorthin bewegen.
fallbacks_pick_up_4,I can't pick this up.,Je ne peux pas ramasser ça.,Das kann ich nicht aufheben.
fallbacks_talk_6,This won't answer me!,Cela ne me répondra pas.,Das wird mir wahrscheinlich eher nicht antworten.
fallbacks_look_8,Nothing to have a closer look at here.,Il n'y a rien à regarder de plus près ici.,"Hier gibt es nichts, was man sich näher ansehen kann."
general_flower_reward,Here is another flower.,Voici une autre fleur.,Hier ist noch eine Blume.
general_1,Placeholder,placeholder,Platzhalter
general_2,Placeholder,placeholder,Platzhalter
general_3,Placeholder,placeholder,Platzhalter
general_4,Placeholder,placeholder,Platzhalter
general_5,Placeholder,placeholder,Platzhalter
trailer_1,"Arthur Benoit, private investigator, who am I speaking to?","Arthur Benoit, détective privé, à qui ai-je l'honneur ?","Detektei Benoit, Arthur Benoit am Apparat, mit wem spreche ich?"
trailer_2,"Hello I am Jane Majorelle, wife of Louis Majorelle and mother of Jacques Majorelle. We own a beautiful “Art Nouveau” villa in Nancy.","Bonjour, je suis Jane Majorelle, épouse de Louis Majorelle et mère de Jacques Majorelle. Nous possédons une belle villa ""Art Nouveau"" à Nancy.","Hallo, ich bin Jane Majorelle, Ehefrau von Louis Majorelle und Mutter von Jacques Majorelle. Wir besitzen eine wunderschöne Jugendstilvilla in Nancy."
trailer_3,Now here’s the problem: The doors are overgrown and the plants don’t leave unless we solve riddles. Maybe you could help us?,"Voilà le problème : Les portes sont envahies par la végétation et les plantes ne s’en iront que si nous résolvons des énigmes. Pourriez-vous, peut-être, nous aider ?",Aber hier ist das Problem: Die Türen sind zugewachsen und die Pflanzen verschwinden nicht ehe wir einige Rätsel lösen. Können Sie uns vielleicht helfen?
trailer_4,"Of course, Madam, we’ll come over as soon as possible.","Bien sûr, Madame, nous arrivons dès que possible.","Natürlich, Madam, wir kommen so schnell wie möglich vorbei."
